Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
14:30:00.000-04:00,14:45:00.000-04:00,35.18389892578125,,41.83509063720703,-71.41022491455078,41.83819580078125,-71.4076919555664,,,,718,,306038,376068,
14:45:00.000-04:00,15:00:00.000-04:00,18.25,,41.83509063720703,-71.40790557861328,41.83525466918945,-71.40771484375,,,,28,,900000,,
15:00:00.000-04:00,15:15:00.000-04:00,18.25,,41.83509063720703,-71.40790557861328,41.83525466918945,-71.40771484375,,,,63,,900000,,
15:15:00.000-04:00,15:30:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,185416,,
15:30:00.000-04:00,15:45:00.000-04:00,21.87094497680664,,41.835147857666016,-71.40790557861328,41.83525466918945,-71.40771484375,,,,76,,108389,63774,
15:45:00.000-04:00,16:00:00.000-04:00,27.11465835571289,,41.83507537841797,-71.4078140258789,41.83523941040039,-71.40771484375,,,,179,,743871,156129,
16:00:00.000-04:00,16:15:00.000-04:00,18.25,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,11,,900000,,
16:15:00.000-04:00,16:30:00.000-04:00,14.257549285888672,,41.83509063720703,-71.40790557861328,41.83525466918945,-71.40771484375,,,,142,,703112,,
16:30:00.000-04:00,16:45:00.000-04:00,18.250001907348633,,,,,,,,,,,900000,,
16:45:00.000-04:00,17:00:00.000-04:00,18.250001907348633,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,81,,900000,,
17:00:00.000-04:00,17:15:00.000-04:00,18.250001907348633,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
17:15:00.000-04:00,17:30:00.000-04:00,18.250001907348633,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
17:30:00.000-04:00,17:45:00.000-04:00,18.250001907348633,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
17:45:00.000-04:00,18:00:00.000-04:00,18.250001907348633,,41.834999084472656,-71.4078140258789,41.83523941040039,-71.40771484375,,,,69,,900000,,
18:00:00.000-04:00,18:15:00.000-04:00,18.250001907348633,,41.83509063720703,-71.40790557861328,41.83525466918945,-71.40771484375,,,,102,,900000,,
18:15:00.000-04:00,18:30:00.000-04:00,9.642772674560547,,41.8350715637207,-71.4078369140625,41.835147857666016,-71.40771484375,1.899999976158142,1.899999976158142,1.899999976158142,182,,475534,,
18:30:00.000-04:00,18:45:00.000-04:00,18.249998092651367,,41.83513259887695,-71.4078140258789,41.835166931152344,-71.40762329101562,,,,63,,900000,,
18:45:00.000-04:00,19:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40776824951172,41.8351936340332,-71.40771484375,,,,50,,900000,,
19:00:00.000-04:00,19:15:00.000-04:00,18.249998092651367,,,,,,,,,,,900000,,
19:15:00.000-04:00,19:30:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.40771484375,,,,91,,900000,,
19:30:00.000-04:00,19:45:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.40771484375,,,,102,,900000,,
19:45:00.000-04:00,20:00:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
20:00:00.000-04:00,20:15:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
20:15:00.000-04:00,20:30:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
20:30:00.000-04:00,20:45:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
20:45:00.000-04:00,21:00:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.835147857666016,-71.40771484375,,,,,,900000,,
21:00:00.000-04:00,21:15:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40797424316406,41.83525848388672,-71.40771484375,,,,,,900000,,
21:15:00.000-04:00,21:30:00.000-04:00,18.249998092651367,,41.83509063720703,-71.40792846679688,41.835147857666016,-71.40771484375,,,,,,900000,,
21:30:00.000-04:00,21:45:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40790557861328,41.835147857666016,-71.40788269042969,,,,7,,900000,,
21:45:00.000-04:00,22:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40786743164062,41.8353157043457,-71.40777587890625,0.6399999856948853,0.6399999856948853,0.6399999856948853,,,900000,,
22:00:00.000-04:00,22:15:00.000-04:00,18.249998092651367,,41.835201263427734,-71.4078369140625,41.83535385131836,-71.40779113769531,,,,,,900000,,
22:15:00.000-04:00,22:30:00.000-04:00,18.249998092651367,,41.835208892822266,-71.40779113769531,41.835208892822266,-71.40779113769531,,,,,,900000,,
22:30:00.000-04:00,22:45:00.000-04:00,18.249998092651367,,41.835205078125,-71.4078140258789,41.8352165222168,-71.40779876708984,,,,,,900000,,
22:45:00.000-04:00,23:00:00.000-04:00,18.249998092651367,,41.835147857666016,-71.40771484375,41.835147857666016,-71.40771484375,,,,,,900000,,
23:00:00.000-04:00,23:15:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.835166931152344,-71.40771484375,,,,174,,900000,,
23:15:00.000-04:00,23:30:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.83523941040039,-71.40771484375,,,,27,,900000,,
23:30:00.000-04:00,23:45:00.000-04:00,18.249998092651367,,41.83509063720703,-71.4078140258789,41.8351936340332,-71.40771484375,,,,,,900000,,
23:45:00.000-04:00,00:00:00.000-04:00,10.596151351928711,,41.835147857666016,-71.4078140258789,41.835166931152344,-71.40771484375,,,,33,,522550,,
